# Метеостанция Нижний Новгород / им. В. П. Чкалова (аэропорт), Россия, METAR=UWGG, выборка с 01.05.2020 по 01.06.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UWGG&lang=ru
#
"Местное время в Нижнем Новгороде / им. В. П. Чкалова (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"05.05.2020 18:30";"22.0";"752.9";"759.7";"38";"Ветер, дующий с юга";"2";"";"";"";"Незначительная (10-30%) 900 м";"10.0 и более";"7.0";
"05.05.2020 18:00";"22.0";"752.9";"759.7";"41";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"8.0";
"05.05.2020 17:30";"24.0";"752.9";"759.7";"34";"Ветер, дующий с юга";"3";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"7.0";
"05.05.2020 17:00";"25.0";"752.9";"759.7";"30";"Ветер, дующий с юга";"7";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"6.0";
"05.05.2020 16:30";"26.0";"753.0";"759.7";"30";"Ветер, дующий с юга";"6";"";"";"";"Рассеянная (40-50%) 450 м, кучево-дождевые облака";"10.0 и более";"7.0";
"05.05.2020 16:00";"23.0";"752.9";"759.7";"31";"Ветер, дующий с юга";"10";"21";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Рассеянная (40-50%) 450 м, кучево-дождевые облака";"9.0";"5.0";
"05.05.2020 15:30";"28.0";"753.0";"759.7";"25";"Ветер, дующий с юга";"7";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"6.0";
"05.05.2020 15:00";"27.0";"753.0";"759.7";"24";"Ветер, дующий с юга";"6";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"5.0";
"05.05.2020 14:30";"27.0";"753.0";"759.7";"23";"Ветер, дующий с юго-юго-востока";"5";"10";"";"";"Рассеянная (40-50%) 1200 м, кучево-дождевые облака";"10.0 и более";"4.0";
"05.05.2020 14:00";"25.0";"753.7";"760.5";"32";"Ветер, дующий с юго-юго-востока";"6";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Рассеянная (40-50%) 1200 м, кучево-дождевые облака";"10.0 и более";"7.0";
"05.05.2020 13:30";"27.0";"753.8";"760.5";"24";"Ветер, дующий с юга";"6";"11";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"05.05.2020 13:00";"27.0";"753.8";"760.5";"26";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"6.0";
"05.05.2020 12:30";"27.0";"753.8";"760.5";"26";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"05.05.2020 12:00";"25.0";"753.7";"760.5";"30";"Ветер, дующий с юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"05.05.2020 11:30";"25.0";"753.7";"760.5";"28";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"05.05.2020 11:00";"23.0";"754.4";"761.2";"29";"Ветер, дующий с юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"05.05.2020 10:30";"23.0";"754.4";"761.2";"29";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"05.05.2020 10:00";"23.0";"754.4";"761.2";"27";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"05.05.2020 09:30";"23.0";"754.4";"761.2";"27";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"05.05.2020 09:00";"22.0";"754.4";"761.2";"29";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"05.05.2020 08:30";"21.0";"754.3";"761.2";"27";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"05.05.2020 08:00";"19.0";"754.3";"761.2";"30";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"05.05.2020 07:30";"19.0";"754.3";"761.2";"30";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"05.05.2020 07:00";"17.0";"754.2";"761.2";"34";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"05.05.2020 06:30";"17.0";"754.2";"761.2";"32";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"05.05.2020 06:00";"15.0";"754.2";"761.2";"36";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"05.05.2020 05:30";"13.0";"754.9";"762.0";"51";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"05.05.2020 05:00";"14.0";"755.0";"762.0";"39";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"05.05.2020 04:30";"11.0";"754.9";"762.0";"50";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"05.05.2020 04:00";"11.0";"754.9";"762.0";"47";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"05.05.2020 03:30";"13.0";"754.9";"762.0";"41";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"05.05.2020 03:00";"15.0";"755.0";"762.0";"36";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"05.05.2020 02:30";"15.0";"755.0";"762.0";"36";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"05.05.2020 02:00";"15.0";"755.0";"762.0";"36";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"05.05.2020 01:30";"15.0";"755.0";"762.0";"36";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"05.05.2020 01:00";"14.0";"755.0";"762.0";"41";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"05.05.2020 00:30";"13.0";"754.9";"762.0";"44";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"05.05.2020 00:00";"13.0";"754.9";"762.0";"44";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"04.05.2020 23:30";"14.0";"755.0";"762.0";"41";"Ветер, дующий с юго-юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"04.05.2020 23:00";"16.0";"755.0";"762.0";"34";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"04.05.2020 22:00";"18.0";"755.1";"762.0";"30";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"04.05.2020 21:30";"19.0";"755.1";"762.0";"26";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-1.0";
"04.05.2020 21:00";"19.0";"755.1";"762.0";"26";"Ветер, дующий с юго-востока";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"-1.0";
"04.05.2020 20:30";"19.0";"755.1";"762.0";"26";"Ветер, дующий с юго-востока";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"-1.0";
"04.05.2020 20:00";"20.0";"755.1";"762.0";"26";"Ветер, дующий с юго-востока";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"0.0";
"04.05.2020 19:30";"20.0";"755.1";"762.0";"24";"Ветер, дующий с юго-востока";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-1.0";
"04.05.2020 19:00";"21.0";"755.1";"762.0";"23";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-1.0";
"04.05.2020 18:30";"22.0";"755.2";"762.0";"20";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"-2.0";
"04.05.2020 18:00";"23.0";"755.2";"762.0";"17";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"-3.0";
"04.05.2020 17:30";"23.0";"755.2";"762.0";"16";"Ветер, дующий с юго-юго-востока";"5";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"-4.0";
"04.05.2020 17:00";"23.0";"755.2";"762.0";"19";"Ветер, дующий с юго-востока";"5";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"-2.0";
"04.05.2020 16:30";"23.0";"755.2";"762.0";"19";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"-2.0";
"04.05.2020 16:00";"23.0";"756.0";"762.8";"22";"Ветер, дующий с юга";"5";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"0.0";
"04.05.2020 15:30";"23.0";"756.0";"762.8";"22";"Ветер, дующий с юго-востока";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"0.0";
"04.05.2020 15:00";"24.0";"756.0";"762.8";"24";"Ветер, дующий с юго-востока";"5";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"2.0";
"04.05.2020 14:30";"23.0";"756.0";"762.8";"25";"Ветер, дующий с юго-юго-востока";"5";"10";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"2.0";
"04.05.2020 14:00";"23.0";"756.0";"762.8";"27";"Ветер, дующий с юго-юго-востока";"6";"11";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"04.05.2020 13:30";"23.0";"756.7";"763.5";"27";"Ветер, дующий с юга";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"04.05.2020 13:00";"22.0";"756.6";"763.5";"27";"Ветер, дующий с юго-востока";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"2.0";
"04.05.2020 12:30";"22.0";"756.6";"763.5";"29";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"04.05.2020 12:00";"20.0";"756.6";"763.5";"43";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"7.0";
"04.05.2020 11:30";"19.0";"756.6";"763.5";"46";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"7.0";
"04.05.2020 11:00";"19.0";"757.4";"764.3";"46";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"7.0";
"04.05.2020 10:30";"18.0";"757.3";"764.3";"49";"Ветер, дующий с юго-востока";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"7.0";
"04.05.2020 10:00";"18.0";"757.3";"764.3";"46";"Ветер, дующий с юга";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"6.0";
"04.05.2020 09:30";"17.0";"757.3";"764.3";"52";"Ветер, дующий с юга";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"7.0";
"04.05.2020 09:00";"17.0";"757.3";"764.3";"52";"Ветер, дующий с юга";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"7.0";
"04.05.2020 08:30";"16.0";"757.3";"764.3";"52";"Ветер, дующий с юга";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"6.0";
"04.05.2020 08:00";"15.0";"756.5";"763.5";"55";"Ветер, дующий с юга";"4";"";"";"";"Рассеянная (40-50%) 990 м, кучево-дождевые облака";"10.0 и более";"6.0";
